x,y,CI_left,CI_right
0-0.08 hrs,55.065853658537,51.771674775238,58.360032541835
0.08-0.17 hrs,71.901666666667,61.205301370195,82.598031963138
0.17-0.25 hrs,62.138095238095,43.390649758293,80.885540717897
0.25-0.33 hrs,38.504682274248,31.557068106434,45.452296442061
0.33-0.41 hrs,59.26610738255,54.595699439888,63.936515325213
0.41-0.5 hrs,78.00612244898,72.016366744448,83.995878153512
0.5-0.58 hrs,71.280536912752,66.402360916131,76.158712909372
0.58-0.66 hrs,61.693950177936,56.042149937134,67.345750418738
0.66-0.75 hrs,76.191039426523,73.724047586168,78.658031266879
0.75-0.83 hrs,92.187959866221,80.262736232506,104.11318349994
0.83-0.91 hrs,137.69130434783,124.50150675628,150.88110193938
0.91-1 hrs,194.86208053691,173.37505139897,216.34910967485
1-1.08 hrs,248.085,237.47835074902,258.69164925098
1.08-1.16 hrs,253.332,252.45258201065,254.21141798935
1.16-1.24 hrs,261.03658536585,255.36814085814,266.70502987357
1.24-1.33 hrs,247.95913621262,229.87472841934,266.04354400591
1.33-1.41 hrs,227.10033557047,216.96901494552,237.23165619542
1.41-1.49 hrs,258.77759197324,251.28300086541,266.27218308108
1.49-1.58 hrs,301.3758490566,290.33177518528,312.41992292793
1.58-1.66 hrs,343.22240802676,330.24150362255,356.20331243097
1.66-1.74 hrs,388.85570469799,377.20630812088,400.505101{2751
1.74-1.82 hrs,424.44080267559,411.39807354008,437.48353181109
1.82-1.91 hrs,483.86033333333,461.19115911174,506.52950755493
1.91-1.99 hrs,545.08310810811,530.64848902143,559.51772719479
1.99-2.07 hrs,577.03722943723,568.37180332884,585.70265554562
2.07-2.16 hrs,617.90906040268,603.20079153981,632.61732926556
2.16-2.24 hrs,666.84086378738,653.11165209337,680.57007548138
2.24-2.32 hrs,712.76566666667,698.96195987384,726.56937345949
2.32-2.41 hrs,757.95585284281,744.8931845907,771.01852109492
2.41-2.49 hrs,804.05805369127,790.75285138945,817.3632559931
2.49-2.57 hrs,853.25016722408,837.63711768129,868.86321676687
2.57-2.65 hrs,895.727,886.75996754773,904.69403245227
2.65-2.74 hrs,912.65,912.48721179404,912.81278820596
2.74-2.82 hrs,926.48214285714,919.97233047022,932.99195524407
2.82-2.9 hrs,942.94420600858,936.87232800576,949.01608401141
2.9-2.99 hrs,949.88484848485,948.62518974989,951.14450721981
2.99-3.07 hrs,953,952.85,953.15
3.07-3.15 hrs,919.1303030303,890.91805748164,947.34254857897
3.15-3.23 hrs,796.75183946488,755.55863831432,837.94504061545
3.23-3.32 hrs,649.61812080537,605.41190703325,693.82433457748
3.32-3.4 hrs,491.82119205298,444.73564765457,538.90673645139
3.4-3.48 hrs,326.33232323232,278.71425909013,373.95038737451
3.48-3.57 hrs,246.41351351351,236.97654159416,255.85048543286
3.57-3.65 hrs,274.80468227425,266.72568819699,282.88367635151
3.65-3.73 hrs,262.07717391304,258.99729167148,265.15705615461
3.73-3.82 hrs,260.1393258427,259.53790094708,260.74075073831
3.82-3.9 hrs,265.11666666667,257.32599800855,272.90733532479
3.9-3.98 hrs,162.46466666667,126.83756904577,198.09176428756
3.98-4.06 hrs,106.55183946488,103.25317930904,109.85049962072
4.06-4.15 hrs,74.346043165468,59.404416862629,89.287669468306
4.15-4.23 hrs,51.125503355705,46.78531880573,55.46568790568
4.23-4.31 hrs,41.240955631399,35.964603425365,46.517307837434
4.31-4.4 hrs,39.20602006689,38.587117262023,39.824922871756
4.4-4.48 hrs,39.228859060403,38.789320665868,39.668397454938
4.48-4.56 hrs,40.30635451505,39.828630232955,40.784078797146
4.56-4.64 hrs,44.042320819113,40.579739159873,47.504902478353
4.64-4.73 hrs,46.857094594595,43.712265558426,50.001923630763
4.73-4.81 hrs,65.380536912752,59.183182228626,71.577891596877
4.81-4.89 hrs,83.624882629108,78.285755147654,88.964010110562
4.89-4.98 hrs,94.363333333333,93.650366137579,95.076300529088
