group,variable,value
5,0-0.08 hrs,100
1,0-0.08 hrs,0
2,0-0.08 hrs,0
3,0-0.08 hrs,0
4,0-0.08 hrs,0
5,0.08-0.17 hrs,100
1,0.08-0.17 hrs,0
2,0.08-0.17 hrs,0
3,0.08-0.17 hrs,0
4,0.08-0.17 hrs,0
5,0.17-0.25 hrs,20.469798657718
4,0.17-0.25 hrs,28.523489932886
3,0.17-0.25 hrs,51.006711409396
1,0.17-0.25 hrs,0
2,0.17-0.25 hrs,0
4,0.25-0.33 hrs,14.478114478114
5,0.25-0.33 hrs,85.521885521886
1,0.25-0.33 hrs,0
2,0.25-0.33 hrs,0
3,0.25-0.33 hrs,0
5,0.33-0.41 hrs,83
4,0.33-0.41 hrs,17
1,0.33-0.41 hrs,0
2,0.33-0.41 hrs,0
3,0.33-0.41 hrs,0
5,0.41-0.5 hrs,98.66220735786
4,0.41-0.5 hrs,1.3377926421405
1,0.41-0.5 hrs,0
2,0.41-0.5 hrs,0
3,0.41-0.5 hrs,0
4,0.5-0.58 hrs,56.418918918919
5,0.5-0.58 hrs,29.054054054054
3,0.5-0.58 hrs,14.527027027027
1,0.5-0.58 hrs,0
2,0.5-0.58 hrs,0
3,0.58-0.66 hrs,20.93023255814
4,0.58-0.66 hrs,31.893687707641
5,0.58-0.66 hrs,47.176079734219
1,0.58-0.66 hrs,0
2,0.58-0.66 hrs,0
5,0.66-0.75 hrs,48.993288590604
4,0.66-0.75 hrs,50.335570469799
3,0.66-0.75 hrs,0.67114093959732
1,0.66-0.75 hrs,0
2,0.66-0.75 hrs,0
4,0.75-0.83 hrs,0.69204152249135
5,0.75-0.83 hrs,99.307958477509
1,0.75-0.83 hrs,0
2,0.75-0.83 hrs,0
3,0.75-0.83 hrs,0
5,0.83-0.91 hrs,100
1,0.83-0.91 hrs,0
2,0.83-0.91 hrs,0
3,0.83-0.91 hrs,0
4,0.83-0.91 hrs,0
5,0.91-1 hrs,100
1,0.91-1 hrs,0
2,0.91-1 hrs,0
3,0.91-1 hrs,0
4,0.91-1 hrs,0
5,1-1.08 hrs,100
1,1-1.08 hrs,0
2,1-1.08 hrs,0
3,1-1.08 hrs,0
4,1-1.08 hrs,0
5,1.08-1.16 hrs,73.929961089494
4,1.08-1.16 hrs,26.070038910506
